collectedAt,pubDate,category,categoryLabel,title,source,link,summary
2026-08-08T09:03:50.260Z,2026-08-08T05:12:06.000Z,wechat,微信公众号线索,- mp.weixin.qq.com,mp.weixin.qq.com,https://news.google.com/rss/articles/CBMiXkFVX3lxTE00X1VOZUVCbElUVXpjWFlRTG44OGJGdTNtaThMT1MwMmhNeHRvVkYtLVk0bzVKNWpMQWFpVWRYSHhJcXh1cElwaWhkQXhsUG50eVg3dUtoTnpBdUtMX1E?oc=5,&nbsp;&nbsp; mp.weixin.qq.com
2026-08-08T09:03:50.260Z,2026-08-08T04:30:00.000Z,industry,行业头条,U.S. IPO Weekly Recap: August Kicks Off With Flurry Of Biotech IPOs,Seeking Alpha,https://news.google.com/rss/articles/CBMijgFBVV95cUxPdXNXeVk2NEFfdXZGOHRScDNQVWpfa1g3MTRGV1lrZ04zRUpER2tjU0lUUDZMU3NNd0hGNDVSUkRXbmxyakthU21uTmJ1M2g2c0J6MkdtSEJKNWhVaGcwZHEwMGJFMENZVjRNUzBuMUFuMXJxLTRsdWNTdThzcWdYQUJlakFUdmQ4RS1ObUFB?oc=5,U.S. IPO Weekly Recap: August Kicks Off With Flurry Of Biotech IPOs &nbsp;&nbsp; Seeking Alpha
2026-08-08T09:03:50.260Z,2026-08-07T13:08:20.000Z,china-policy,中国政策与审批,【视频播报】离开本市去外地工作，职工医保关系这样转！,北京市医疗保障局,https://news.google.com/rss/articles/CBMiiAFBVV95cUxQeHRvbTQtemRNOHdLdXczQkx4eHQ5U1gxQlZRa0RReDhaQ3dNa2wxbUMzVGx3bDFWNVZSQk9ZeUgyNFB2SVZyMjVsQUNrOXBCdDFPSzRzNG5MNktJemJHTXdpQzhmX2VxeTltaW9SenZ6d0M5cXhtc2l6VDZCS0lQaVljdGdLZ1Fz?oc=5,【视频播报】离开本市去外地工作，职工医保关系这样转！ &nbsp;&nbsp; 北京市医疗保障局
2026-08-08T09:03:50.260Z,2026-08-06T21:30:41.000Z,regulatory,监管与审批,US FDA approves Replimune's skin cancer drug after prior rejections,Reuters,https://news.google.com/rss/articles/CBMitgFBVV95cUxQSzRDTVZPLXhNYTNDWDYyVXZTemQwOXJNQVlVblBvZHVpbUxPX0dQQzVRVTJIT2h5ZmFjVGlOZjNScjRPT1FveDliRmtNdEh5WEtNWUF4Sk5xVi1qdV9aQ3A3eEZvWHNGUDFCWGNhT0ZEb2gwdWw1amRPWkJ2d1M4em1VVVZCdUM3YW9JLXhMamVWOUFseVZnNTd3OWFwaFdWdy1VNVlITVVqUWR6dFYzZ0xFRzlGZw?oc=5,US FDA approves Replimune's skin cancer drug after prior rejections &nbsp;&nbsp; Reuters
2026-08-08T09:03:50.260Z,2026-08-06T21:00:00.000Z,manufacturing,制造与供应链,Manufacturing Strategies: AstraZeneca,DCAT Value Chain Insights,https://news.google.com/rss/articles/CBMiekFVX3lxTFBQX2xIZWU2WVlHWFNOcVZuVXZFdy1WSndMenEzQUhRVkdHNTB4anMtaVJvdnNVdUVqdEtoZTJ6VGFaRld0ZDNzMkxzUVh3bldUY3g5RjF5MUgxbm5fbUVPLU9PdzFoVVNQaVNGbnlMSmlRLXgwZjRyTGNR?oc=5,Manufacturing Strategies: AstraZeneca &nbsp;&nbsp; DCAT Value Chain Insights
2026-08-08T09:03:50.260Z,2026-08-05T19:39:33.000Z,science,前沿研发,Eli Lilly Cuts Gaucher Disease Gene Therapy From Pipeline,precisionmedicineonline.com,https://news.google.com/rss/articles/CBMiqgFBVV95cUxOSnNRYjAzYXN3MzVDZGVtR1ZaTGowd0tCNFl4bFFlVEYxX0JEc1IxcHViR0l5dldlajBWLWZHLXc3R04xbDJvNklLOWZfUXFjaEg0NFhkbTVVTFlHUGVrTl9TQnVRWGNuSnprZE5Udk1Pd0FTVW43WmYzQVY1STNlU2ppeGhhRXpFZE1kdk1lRDlMbkwyamNXLVFESkplUmpsMXRfMXBMWlFHZw?oc=5,Eli Lilly Cuts Gaucher Disease Gene Therapy From Pipeline &nbsp;&nbsp; precisionmedicineonline.com
2026-08-08T09:03:50.260Z,2026-08-03T13:56:46.000Z,manufacturing,制造与供应链,Virtual reality holds the promise of filling medicines manufacturing workforce gaps,The Pharmaceutical Journal,https://news.google.com/rss/articles/CBMizwFBVV95cUxPRUprcVI2RzNNWFBKMk1OX2k1ckZzNHB4X3VmR2pnVGFRVXJmdmhYNXU3eExZc2swZ3A2R0RSRVVTOVBUMk9PRUo0X19faTFYaDdQa1VkbUhrdmZyVFhrdVVDX0xNTTlsd2pkZUxaOHUtWk9rcld2VmU5RVpPdHZEaFY2RXV2SUVReDFWN0x3Ym5MWVFSSVdGMU5sU3V6M2pEVkdPbGYxSzBqYnRsTG5Sb3hBUld1ZmgtMWEyelZ0TmNZV3lmeElfQnpBekdhZ3c?oc=5,Virtual reality holds the promise of filling medicines manufacturing workforce gaps &nbsp;&nbsp; The Pharmaceutical Journal
2026-08-08T03:45:47.522Z,2026-08-08T01:11:00.000Z,industry,行业头条,3rd Circ. Says Pharma Co. Suit Against Merck Belongs In India,Law360,https://news.google.com/rss/articles/CBMiVkFVX3lxTE9EOVA4ZkQ2THV5akpqRG04ckpWTUNCWWFqeHh6SWxvQUh2SmV4TVhRZXM4UDBrc0tNLTdBWWlwOHhNbkl3eXdwZG9RYkpTZ0hxZHB2NnlR0gFWQVVfeXFMT0Q5UDhmRDZMdXlqSmpEbThySlZNQ0JZYWp4eHpJbG9BSHZKZXhNWFFlczhQMGtzS00tN0FZaXA4eE1uSXd5d3Bkb1FiSlNnSHFkcHY2eVE?oc=5,3rd Circ. Says Pharma Co. Suit Against Merck Belongs In India &nbsp;&nbsp; Law360
2026-08-08T03:45:47.522Z,2026-08-08T00:17:00.000Z,industry,行业头条,Sihuan Pharmaceutical Holdings Group (SEHK:460) Following Profit Guidance Why Valuation Still Looks Pricey,Yahoo Finance,https://news.google.com/rss/articles/CBMipAFBVV95cUxQei1YTm5KalVOZElNZjFCSUtPUjIwUzkyZ2NoYVg0SklyLUdWbEo5Z296Y25zVDJKanRvU2V3TFRER1l1eE5sRllMcXVEVDBfekFFQXk2RkVXVjFUM3JIejFnX2pQSFNMR1U4VExySUh0LURPZVpGdFd3bExMbE0zSEpkbFJRM3BVdGFLWUphNllYcFM2WHVLdkVVWHRVQW80dGlDTA?oc=5,Sihuan Pharmaceutical Holdings Group (SEHK:460) Following Profit Guidance Why Valuation Still Looks Pricey &nbsp;&nbsp; Yahoo Finance
2026-08-08T03:45:47.522Z,2026-08-07T22:14:12.000Z,industry,行业头条,Russian strike damages major pharmaceutical warehouse in Ukraine,International Rescue Committee,https://news.google.com/rss/articles/CBMinwFBVV95cUxNTUp1SXd5MGQ3NXlqZDhKZVlYLTlHRVYwVnFDT0QyVzdlVEpkdWtQaFVBMWJnM3ZXMjM1cUd1ekQ2NDllaXdVeGtuMGJQQldkU2ZwY0tSTVVJOXQzT0JoVTRpRWlGVmJsRE93MHRIejluNHU2MHV1bGYxVnJTb3NIQTZZNF9GYzg0SmlaeEJ4ZTZiTXRRajlubHo1Y1VHYUk?oc=5,Russian strike damages major pharmaceutical warehouse in Ukraine &nbsp;&nbsp; International Rescue Committee
